emp_no,salary
10006,40000
10012,40000
10013,40000
10015,40000
10020,40000
10022,40000
10025,40000
10027,40000
10031,40000
10037,40000
10038,40000
10039,40000
10046,40000
10048,40000
10049,40000
10054,40000
10063,40000
10064,40000
10065,40000
10071,40000
10072,40000
10077,40000
10083,40000
10085,40000
10091,40000
10098,40000
10108,40000
10109,40000
10111,40000
10115,40000
10118,40000
10126,40000
10127,40000
10128,40000
10129,40000
10130,40000
10133,40000
10134,40000
10135,40000
10137,40000
10139,40000
10142,40000
10143,40000
10147,40000
10152,40000
10154,40000
10162,40000
10179,40000
10181,40000
10183,40000
10186,40000
10190,40000
10191,40000
10192,40000
10195,40000
10197,40000
10201,40000
10203,40000
10204,40000
10205,40000
10206,40000
10210,40000
10213,40000
10216,40000
10217,40000
10219,40000
10222,40000
10224,40000
10225,40000
10231,40000
10233,40000
10241,40000
10242,40000
10245,40000
10246,40000
10247,40000
10252,40000
10257,40000
10261,40000
10267,40000
10269,40000
10275,40000
10276,40000
10279,40000
10282,40000
10283,40000
10284,40000
10286,40000
10289,40000
10298,40000
10301,40000
10303,40000
10307,40000
10311,40000
10316,40000
10323,40000
10326,40000
10334,40000
10338,40000
10339,40000
10341,40000
10342,40000
10343,40000
10348,40000
10351,40000
10352,40000
10357,40000
10359,40000
10360,40000
10362,40000
10377,40000
10379,40000
10385,40000
10390,40000
10393,40000
10394,40000
10401,40000
10402,40000
10405,40000
10406,40000
10421,40000
10425,40000
10428,40000
10429,40000
10430,40000
10432,40000
10433,40000
10434,40000
10436,40000
10438,40000
10441,40000
10447,40000
10450,40000
10452,40000
10453,40000
10459,40000
10460,40000
10462,40000
10464,40000
10468,40000
10478,40000
10479,40000
10481,40000
10484,40000
10488,40000
10498,40000
10499,40000
10502,40000
10503,40000
10506,40000
10507,40000
10511,40000
10512,40000
10519,40000
10520,40000
10522,40000
10523,40000
10526,40000
10534,40000
10542,40000
10547,40000
10550,40000
10560,40000
10565,40000
10566,40000
10572,40000
10574,40000
10580,40000
10594,40000
10595,40000
10601,40000
10606,40000
10608,40000
10611,40000
10612,40000
10613,40000
10614,40000
10617,40000
10622,40000
10624,40000
10626,40000
10627,40000
10630,40000
10631,40000
10635,40000
10642,40000
10645,40000
10648,40000
10649,40000
10653,40000
10659,40000
10665,40000
10667,40000
10669,40000
10673,40000
10674,40000
10679,40000
10680,40000
10682,40000
10683,40000
10687,40000
10689,40000
10693,40000
10697,40000
10698,40000
10699,40000
10704,40000
10709,40000
10712,40000
10719,40000
10721,40000
10723,40000
10728,40000
10729,40000
10732,40000
10735,40000
10736,40000
10739,40000
10745,40000
10746,40000
10750,40000
10752,40000
10755,40000
10756,40000
10759,40000
10760,40000
10766,40000
10772,40000
10773,40000
10777,40000
10781,40000
10782,40000
10783,40000
10786,40000
10789,40000
10791,40000
10793,40000
10800,40000
10802,40000
10804,40000
10808,40000
10811,40000
10815,40000
10818,40000
10821,40000
10823,40000
10829,40000
10833,40000
10835,40000
10840,40000
10841,40000
10843,40000
10844,40000
10846,40000
10847,40000
10854,40000
10855,40000
10860,40000
10861,40000
10867,40000
10869,40000
10871,40000
10872,40000
10875,40000
10881,40000
10882,40000
10883,40000
10886,40000
10891,40000
10892,40000
10896,40000
10905,40000
10907,40000
10908,40000
10910,40000
10920,40000
10925,40000
10928,40000
10929,40000
10932,40000
10933,40000
10936,40000
10937,40000
10942,40000
10950,40000
10951,40000
10952,40000
10954,40000
10956,40000
10967,40000
10969,40000
10970,40000
10972,40000
10975,40000
10976,40000
10977,40000
10985,40000
10990,40000
10993,40000
10995,40000
10997,40000
11003,40000
11007,40000
11017,40000
11025,40000
11027,40000
11032,40000
11034,40000
11037,40000
11039,40000
11042,40000
11043,40000
11045,40000
11047,40000
11051,40000
11052,40000
11054,40000
11058,40000
11063,40000
11065,40000
11067,40000
11068,40000
11070,40000
11071,40000
11072,40000
11088,40000
11093,40000
11094,40000
11095,40000
11098,40000
11100,40000
11101,40000
11104,40000
11108,40000
11109,40000
11112,40000
11116,40000
11119,40000
11121,40000
11126,40000
11127,40000
11132,40000
11133,40000
11135,40000
11137,40000
11140,40000
11141,40000
11142,40000
11147,40000
11151,40000
11153,40000
11154,40000
11158,40000
11160,40000
11171,40000
11175,40000
11177,40000
11180,40000
11181,40000
11183,40000
11184,40000
11185,40000
11186,40000
11192,40000
11199,40000
11202,40000
11204,40000
11209,40000
11210,40000
11213,40000
11217,40000
11218,40000
11219,40000
11220,40000
11224,40000
11225,40000
11227,40000
11231,40000
11235,40000
11238,40000
11244,40000
11246,40000
11247,40000
11252,40000
11253,40000
11255,40000
11258,40000
11260,40000
11265,40000
11266,40000
11268,40000
11270,40000
11273,40000
11274,40000
11276,40000
11278,40000
11279,40000
11281,40000
11284,40000
11289,40000
11292,40000
11296,40000
11297,40000
11299,40000
11301,40000
11309,40000
11314,40000
11316,40000
11317,40000
11319,40000
11323,40000
11326,40000
11327,40000
11331,40000
11332,40000
11333,40000
11335,40000
11339,40000
11342,40000
11348,40000
11352,40000
11354,40000
11364,40000
11366,40000
11368,40000
11370,40000
11378,40000
11379,40000
11383,40000
11384,40000
11385,40000
11390,40000
11393,40000
11394,40000
11397,40000
11400,40000
11409,40000
11415,40000
11418,40000
11420,40000
11424,40000
11425,40000
11428,40000
11433,40000
11437,40000
11440,40000
11442,40000
11444,40000
11445,40000
11446,40000
11448,40000
11457,40000
11459,40000
11463,40000
11464,40000
11465,40000
11471,40000
11473,40000
11477,40000
11490,40000
11491,40000
11496,40000
11498,40000
11499,40000
11502,40000
11509,40000
11510,40000
11514,40000
11518,40000
11532,40000
11533,40000
11534,40000
11538,40000
11541,40000
11542,40000
11543,40000
11545,40000
11548,40000
11550,40000
11555,40000
11558,40000
11565,40000
11571,40000
11572,40000
11574,40000
11577,40000
11578,40000
11580,40000
11587,40000
11588,40000
11590,40000
11591,40000
11593,40000
11601,40000
11605,40000
11606,40000
11612,40000
11613,40000
11620,40000
11626,40000
11629,40000
11631,40000
11633,40000
11635,40000
11642,40000
11647,40000
11648,40000
11649,40000
11650,40000
11654,40000
11655,40000
11657,40000
11665,40000
11673,40000
11681,40000
11683,40000
11685,40000
11686,40000
11687,40000
11694,40000
11699,40000
11703,40000
11712,40000
11714,40000
11716,40000
11721,40000
11722,40000
11724,40000
11731,40000
11732,40000
11735,40000
11744,40000
11749,40000
11750,40000
11751,40000
11757,40000
11759,40000
11760,40000
11763,40000
11765,40000
11766,40000
11769,40000
11770,40000
11771,40000
11773,40000
11774,40000
11775,40000
11777,40000
11778,40000
11779,40000
11782,40000
11783,40000
11786,40000
11787,40000
11791,40000
11792,40000
11793,40000
11794,40000
11795,40000
11800,40000
11803,40000
11805,40000
11807,40000
11814,40000
11829,40000
11832,40000
11835,40000
11836,40000
11842,40000
11845,40000
11854,40000
11856,40000
11865,40000
11879,40000
11886,40000
11887,40000
11891,40000
11896,40000
11902,40000
11907,40000
11911,40000
11913,40000
11914,40000
11917,40000
11918,40000
11919,40000
11922,40000
11923,40000
11928,40000
11929,40000
11938,40000
11949,40000
11951,40000
11955,40000
11960,40000
11962,40000
11963,40000
11967,40000
11970,40000
11971,40000
11973,40000
11975,40000
11977,40000
11982,40000
11983,40000
11985,40000
11987,40000
11989,40000
11992,40000
11997,40000
11999,40000
12007,40000
12010,40000
12019,40000
12021,40000
12023,40000
12030,40000
12032,40000
12035,40000
12038,40000
12044,40000
12045,40000
12052,40000
12056,40000
12060,40000
12064,40000
12071,40000
12072,40000
12073,40000
12074,40000
12075,40000
12084,40000
12091,40000
12092,40000
12093,40000
12101,40000
12105,40000
12106,40000
12114,40000
12117,40000
12118,40000
12131,40000
12132,40000
12133,40000
12135,40000
12136,40000
12138,40000
12139,40000
12140,40000
12144,40000
12145,40000
12147,40000
12157,40000
12161,40000
12162,40000
12166,40000
12168,40000
12169,40000
12170,40000
12172,40000
12174,40000
12176,40000
12180,40000
12183,40000
12187,40000
12190,40000
12193,40000
12201,40000
12202,40000
12204,40000
12205,40000
12206,40000
12207,40000
12210,40000
12211,40000
12212,40000
12216,40000
12217,40000
12218,40000
12226,40000
12227,40000
12228,40000
